timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
2013-09-29T00:00:00.000Z;2013-09-29T23:59:59.999Z;2013-09-29T00:00:00.000Z;2013-09-29T00:00:00.000Z;134.899993897;140.61000061;134.710006714;137.339996338;0;1616584504.5;11770675;2013-09-29T23:59:59.999Z
2013-09-30T00:00:00.000Z;2013-09-30T23:59:59.999Z;2013-09-30T00:00:00.000Z;2013-09-30T00:00:00.000Z;137.149993897;138.350006103;130.270004272;133;0;1566038425;11774725;2013-09-30T23:59:59.999Z
2013-10-01T00:00:00.000Z;2013-10-01T23:59:59.999Z;2013-10-01T00:00:00.000Z;2013-10-01T00:00:00.000Z;132.679992676;134.630004883;131.550003052;132.179992676;0;1557001092;11779400;2013-10-01T23:59:59.999Z
2013-10-02T00:00:00.000Z;2013-10-02T23:59:59.999Z;2013-10-02T00:00:00.000Z;2013-10-02T00:00:00.000Z;132.050003052;133.589996338;102.25;114.129997253;0;1344930746;11784200;2013-10-02T23:59:59.999Z
2013-10-03T00:00:00.000Z;2013-10-03T23:59:59.999Z;2013-10-03T00:00:00.000Z;2013-10-03T00:00:00.000Z;114.449996948;123.629997253;111.819999695;123.629997253;0;1457492614.5;11789150;2013-10-03T23:59:59.999Z
2013-10-04T00:00:00.000Z;2013-10-04T23:59:59.999Z;2013-10-04T00:00:00.000Z;2013-10-04T00:00:00.000Z;123.410003662;130.089996338;123.410003662;129.009994507;0;1521498786.5;11793650;2013-10-04T23:59:59.999Z
2013-10-05T00:00:00.000Z;2013-10-05T23:59:59.999Z;2013-10-05T00:00:00.000Z;2013-10-05T00:00:00.000Z;128.630004883;130.440002441;128.029998779;128.550003052;0;1516777518.75;11799125;2013-10-05T23:59:59.999Z
2013-10-06T00:00:00.000Z;2013-10-06T23:59:59.999Z;2013-10-06T00:00:00.000Z;2013-10-06T00:00:00.000Z;128.36000061;129.660003662;126.150001526;129;0;1522686975;11803775;2013-10-06T23:59:59.999Z
2013-10-07T00:00:00.000Z;2013-10-07T23:59:59.999Z;2013-10-07T00:00:00.000Z;2013-10-07T00:00:00.000Z;129.429992676;130.270004272;126.36000061;126.940002441;0;1498859917.5;11807625;2013-10-07T23:59:59.999Z
2013-10-08T00:00:00.000Z;2013-10-08T23:59:59.999Z;2013-10-08T00:00:00.000Z;2013-10-08T00:00:00.000Z;126.739997864;127.470001221;124.709999084;126;0;1488277350;11811725;2013-10-08T23:59:59.999Z
2013-10-09T00:00:00.000Z;2013-10-09T23:59:59.999Z;2013-10-09T00:00:00.000Z;2013-10-09T00:00:00.000Z;125.849998474;131.75;125.580001831;130.690002441;0;1544249376.25;11816125;2013-10-09T23:59:59.999Z
2013-10-10T00:00:00.000Z;2013-10-10T23:59:59.999Z;2013-10-10T00:00:00.000Z;2013-10-10T00:00:00.000Z;130.669998169;131.5;129.259994507;130.589996338;0;1543701125.25;11820975;2013-10-10T23:59:59.999Z
2013-10-11T00:00:00.000Z;2013-10-11T23:59:59.999Z;2013-10-11T00:00:00.000Z;2013-10-11T00:00:00.000Z;130.75;131.809997559;129.63999939;130.899993897;0;1547971040;11825600;2013-10-11T23:59:59.999Z
2013-10-12T00:00:00.000Z;2013-10-12T23:59:59.999Z;2013-10-12T00:00:00.000Z;2013-10-12T00:00:00.000Z;130.899993897;135.660003662;130.559997559;135.190002441;0;1599426130.5;11830950;2013-10-12T23:59:59.999Z
2013-10-13T00:00:00.000Z;2013-10-13T23:59:59.999Z;2013-10-13T00:00:00.000Z;2013-10-13T00:00:00.000Z;135.190002441;138.660003662;134.550003052;138.130004883;0;1634968838.5;11836450;2013-10-13T23:59:59.999Z
2013-10-14T00:00:00.000Z;2013-10-14T23:59:59.999Z;2013-10-14T00:00:00.000Z;2013-10-14T00:00:00.000Z;139.270004272;144.119995117;138.899993897;140.520004272;0;1664129178;11842650;2013-10-14T23:59:59.999Z
2013-10-15T00:00:00.000Z;2013-10-15T23:59:59.999Z;2013-10-15T00:00:00.000Z;2013-10-15T00:00:00.000Z;140.770004272;145.38999939;139.130004883;145.240005493;0;1720981439;11849225;2013-10-15T23:59:59.999Z
2013-10-16T00:00:00.000Z;2013-10-16T23:59:59.999Z;2013-10-16T00:00:00.000Z;2013-10-16T00:00:00.000Z;145.649993897;152.229995728;142.429992676;142.550003052;0;1689851847.5;11854450;2013-10-16T23:59:59.999Z
2013-10-17T00:00:00.000Z;2013-10-17T23:59:59.999Z;2013-10-17T00:00:00.000Z;2013-10-17T00:00:00.000Z;142.410003662;147.419998169;142.410003662;146.25;0;1734327562.5;11858650;2013-10-17T23:59:59.999Z
2013-10-18T00:00:00.000Z;2013-10-18T23:59:59.999Z;2013-10-18T00:00:00.000Z;2013-10-18T00:00:00.000Z;146.369995117;155.960006714;145.570007324;155.960006714;0;1850219763;11863425;2013-10-18T23:59:59.999Z
2013-10-19T00:00:00.000Z;2013-10-19T23:59:59.999Z;2013-10-19T00:00:00.000Z;2013-10-19T00:00:00.000Z;155.910003662;177.479995728;155.699996948;172.419998169;0;2046457290.5;11869025;2013-10-19T23:59:59.999Z
2013-10-20T00:00:00.000Z;2013-10-20T23:59:59.999Z;2013-10-20T00:00:00.000Z;2013-10-20T00:00:00.000Z;171.660003662;174.910003662;168.949996948;174.61000061;0;2073319140;11874000;2013-10-20T23:59:59.999Z
2013-10-21T00:00:00.000Z;2013-10-21T23:59:59.999Z;2013-10-21T00:00:00.000Z;2013-10-21T00:00:00.000Z;174.800003052;184.820007324;174.800003052;182.210006714;0;2164518142.5;11879250;2013-10-21T23:59:59.999Z
2013-10-22T00:00:00.000Z;2013-10-22T23:59:59.999Z;2013-10-22T00:00:00.000Z;2013-10-22T00:00:00.000Z;182.649993897;196.270004272;182.649993897;193.759994507;0;2302910260;11885375;2013-10-22T23:59:59.999Z
