timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2013-03-20T00:00:00.000Z";"2013-03-20T23:59:59.999Z";"2013-03-20T01:25:00.000Z";"2013-03-20T00:00:00.000Z";"2781";52.53731073;71.06669193;52.53731073;63.07642377;93178.76;689137525.63;10925437.5;"2013-03-20T23:59:59.999Z"
"2013-03-19T00:00:00.000Z";"2013-03-19T23:59:59.999Z";"2013-03-19T04:32:00.000Z";"2013-03-19T00:24:00.000Z";"2781";51.11806964;63.81055158;49.93984796;52.36282461;112206.01;571810553.71;10920162.5;"2013-03-19T23:59:59.999Z"
"2013-03-18T00:00:00.000Z";"2013-03-18T23:59:59.999Z";"2013-03-18T03:04:00.000Z";"2013-03-18T00:42:00.000Z";"2781";47.74176036;61.81042716;47.67972635;51.01725682;65032.52;556899273.73;10915845.83;"2013-03-18T23:59:59.999Z"
"2013-03-17T00:00:00.000Z";"2013-03-17T23:59:59.999Z";"2013-03-17T01:53:00.000Z";"2013-03-17T22:51:00.000Z";"2781";47.09362255;60.23120303;44.48461511;47.38684263;13912.14;517045540.3;10911137.5;"2013-03-17T23:59:59.999Z"
"2013-03-16T00:00:00.000Z";"2013-03-16T23:59:59.999Z";"2013-03-16T00:35:00.000Z";"2013-03-16T14:28:00.000Z";"2781";46.83408637;48.20178486;39.08735264;46.90482035;16344.09;511541039.19;10905912.5;"2013-03-16T23:59:59.999Z"
"2013-03-15T00:00:00.000Z";"2013-03-15T23:59:59.999Z";"2013-03-15T10:57:00.000Z";"2013-03-15T18:28:00.000Z";"2781";47.07619647;52.41145425;41.92051784;46.88043039;20160.32;511068672.25;10901506.25;"2013-03-15T23:59:59.999Z"
"2013-03-14T00:00:00.000Z";"2013-03-14T23:59:59.999Z";"2013-03-14T08:47:00.000Z";"2013-03-14T00:54:00.000Z";"2781";45.75259783;53.73317481;43.48866605;47.07235772;37129.77;512959838.57;10897262.5;"2013-03-14T23:59:59.999Z"
"2013-03-13T00:00:00.000Z";"2013-03-13T23:59:59.999Z";"2013-03-13T00:36:00.000Z";"2013-03-13T02:49:00.000Z";"2781";46.5055121;48.50352617;39.63113796;45.74626518;49627.03;498303678.4;10892694.79;"2013-03-13T23:59:59.999Z"
"2013-03-12T00:00:00.000Z";"2013-03-12T23:59:59.999Z";"2013-03-12T13:40:00.000Z";"2013-03-12T04:29:00.000Z";"2781";47.80631348;52.34242305;38.91503088;46.51248342;183045.14;506467455.09;10888850;"2013-03-12T23:59:59.999Z"
"2013-03-11T00:00:00.000Z";"2013-03-11T23:59:59.999Z";"2013-03-11T11:20:00.000Z";"2013-03-11T00:23:00.000Z";"2781";46.27252893;56.56057437;43.3243333;47.82448332;41447.44;520592815.38;10885487.5;"2013-03-11T23:59:59.999Z"
